
映像名称                       PID 会话名              会话#       内存使用 
SecurityHealthSystray.exe     9600 Console                    1     16,120 K
SecurityHealthService.exe     9620 Services                   0     38,304 K
SACMonitor.exe                9692 Console                    1     35,252 K
OneDrive.exe                  9860 Console                    1    100,512 K
audiodg.exe                   9932 Services                   0     19,604 K
taskhostw.exe                 7028 Console                    1     11,968 K
SystemSettings.exe            5648 Console                    1    134,044 K
ApplicationFrameHost.exe      8004 Console                    1     52,836 K
svchost.exe                   2460 Services                   0     12,720 K
svchost.exe                   4940 Services                   0     21,512 K
SearchProtocolHost.exe        9496 Services                   0     25,420 K
SearchFilterHost.exe          4516 Services                   0     16,088 K
svchost.exe                   3960 Services                   0     46,900 K
WmiPrvSE.exe                  3008 Services                   0     17,324 K
svchost.exe                   1884 Services                   0     11,116 K
conhost.exe                   2676 Services                   0     13,372 K
cmd.exe                       1520 Services                   0     14,028 K
StoreDesktopExtension.exe     9868 Console                    1     34,496 K
backgroundTaskHost.exe        8668 Console                    1     46,792 K
backgroundTaskHost.exe        8652 Console                    1     26,928 K
backgroundTaskHost.exe        3420 Console                    1     46,344 K
backgroundTaskHost.exe        8308 Console                    1     26,380 K
backgroundTaskHost.exe        8632 Console                    1     41,556 K
RuntimeBroker.exe              904 Console                    1     22,508 K
RuntimeBroker.exe             7144 Console                    1     22,508 K
RuntimeBroker.exe             7588 Console                    1     13,052 K
WmiPrvSE.exe                  6532 Services                   0     18,032 K
where.exe                     1420 Services                   0      8,184 K
conhost.exe                   5448 Services                   0     13,244 K
cmd.exe                       9444 Services                   0     14,572 K
conhost.exe                   5568 Services                   0     13,260 K
cmd.exe                       6228 Services                   0     14,348 K
conhost.exe                   5968 Services                   0     13,244 K
tasklist.exe                  2616 Services                   0     14,864 K
cmd.exe                       2892 Services                   0      6,412 K
