
Class                 Status FriendlyName                                           InstanceId                                                                       
SmartCardFilter       OK     Smart card filter driver                               {892EDE5E-BE49-443C-A0B3-005D74F2D69C}\SCFILTER\6&26AB3DD0&0&01                  
SmartCardReader       OK     Microsoft Usbccid Smartcard Reader (WUDF)              USB\VID_0529&PID_0620\5&341269D7&0&7                                             
SoftwareDevice        OK     Microsoft Device Association Root Enumerator           SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}                                 
SoftwareDevice        OK     Microsoft GS 波表合成器                                     SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH                                           
SoftwareDevice        OK     Microsoft Passport Container Enumeration Bus           SWD\SCDEVICEENUMBUS\1                                                            
SoftwareDevice        OK     Microsoft Radio Device Enumeration Bus                 SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}                                 
SoftwareDevice        OK     Smart Card Device Enumeration Bus                      SWD\SCDEVICEENUMBUS\0                                                            
System                OK     ACPI Devices driver                                    ACPI\ACPI0013\GED                                                                
System                OK     ACPI Power Button                                      ACPI\PNP0C0C\0                                                                   
System                OK     ARM PL011 UART Device Driver                           ACPI\ARMH0011\0                                                                  
System                OK     Composite Bus Enumerator                               ROOT\COMPOSITEBUS\0000                                                           
System                OK     High Definition Audio Controller                       PCI\VEN_8086&DEV_2668&SUBSYS_11001AF4&REV_01\3&11583659&0&18                     
System                OK     Microsoft ACPI-Compliant System                        ACPI_HAL\PNP0C08\0                                                               
System                OK     Microsoft Basic Display Driver                         ROOT\BASICDISPLAY\0000                                                           
System                OK     Microsoft Basic Render Driver                          ROOT\BASICRENDER\0000                                                            
System                OK     Microsoft Hyper-V Virtualization Infrastructure Driver ROOT\VID\0000                                                                    
System                OK     Microsoft System Management BIOS Driver                ROOT\MSSMBIOS\0000                                                               
System                OK     Microsoft Virtual Drive Enumerator                     ROOT\VDRVROOT\0000                                                               
System                OK     Motherboard resources                                  ACPI\PNP0C02\3&11583659&0                                                        
System                OK     NDIS Virtual Network Adapter Enumerator                ROOT\NDISVIRTUALBUS\0000                                                         
System                OK     PCI Express Root Complex                               ACPI\PNP0A08\0                                                                   
System                OK     PCI standard host CPU bridge                           PCI\VEN_1B36&DEV_0008&SUBSYS_11001AF4&REV_00\3&11583659&0&00                     
System                OK     Plug and Play Software Device Enumerator               ROOT\SYSTEM\0000                                                                 
System                OK     Remote Desktop Device Redirector Bus                   ROOT\RDPBUS\0000                                                                 
System                OK     UMBus Root Bus Enumerator                              ROOT\UMBUS\0000                                                                  
System                OK     VirtIO RNG Device                                      PCI\VEN_1AF4&DEV_1005&SUBSYS_00041AF4&REV_00\3&11583659&0&40                     
System                OK     VirtIO Serial Driver                                   PCI\VEN_1AF4&DEV_1003&SUBSYS_00031AF4&REV_00\3&11583659&0&38                     
System                OK     Volume Manager                                         ROOT\VOLMGR\0000                                                                 
USB                   OK     Generic USB Hub                                        USB\VID_0409&PID_55AA\MSFT20314159-0000:00:04.0-4                                
USB                   OK     Renesas USB 3.0 可扩展主机控制器 - 1.0 (Microsoft)             PCI\VEN_1033&DEV_0194&SUBSYS_11001AF4&REV_03\3&11583659&0&20                     
USB                   OK     USB Mass Storage Device                                USB\VID_46F4&PID_0001\1-0000:00:04.0-4.2                                         
USB                   OK     USB Mass Storage Device                                USB\VID_46F4&PID_0001\1-0000:00:04.0-4.1                                         
USB                   OK     USB Root Hub (USB 3.0)                                 USB\ROOT_HUB30\4&1D2D9BC&0&0                                                     
USB                   OK     USB Root Hub (USB 3.0)                                 USB\ROOT_HUB30\4&15672603&0&0                                                    
USB                   OK     标准 USB 3.0 可扩展主机控制器 - 1.0 (Microsoft)                  PCI\VEN_1B36&DEV_000D&SUBSYS_11001AF4&REV_01\3&11583659&0&28                     
Volume                OK     Volume                                                 STORAGE\VOLUME\{4087BF18-5F07-11F1-9FBF-806E6F6E6963}#0000000000100000           
Volume                OK     Volume                                                 STORAGE\VOLUME\{4087BF18-5F07-11F1-9FBF-806E6F6E6963}#000000000D900000           
Volume                OK     Volume                                                 STORAGE\VOLUME\{4087BF18-5F07-11F1-9FBF-806E6F6E6963}#00000013CBC00000           
Volume                OK     Volume                                                 STORAGE\VOLUME\{4087BF18-5F07-11F1-9FBF-806E6F6E6963}#000000000C900000           


